tag,debt,treasury
GER,3232.5760,101.0180
ENG,4002.6000,80.0520
SOV,512.2600,51.2260
SWE,234.1500,13.3800
FRA,3770.2560,67.3260
LUX,25.3000,2.0240
BEL,761.7750,14.5100
HOL,626.4160,26.6560
CZE,175.9500,7.8200
POL,517.7500,20.7100
AUS,463.6000,11.5900
LIT,38.0800,1.9040
EST,9.4000,1.0000
LAT,21.8700,1.0000
SPR,2001.8250,38.1300
ITA,3444.6600,51.0320
ROM,222.9240,8.5740
YUG,0.0000,1.0000
SER,55.0000,2.0000
SWI,417.4000,20.8700
TUR,511.1360,31.9460
GRE,448.9600,5.6120
ALB,18.3000,1.0000
NOR,238.8600,63.6960
DEN,138.7500,9.2500
BUL,32.7000,2.6160
POR,381.2600,6.9320
FIN,237.7500,6.3400
IRE,324.7650,14.4340
HUN,184.8750,4.9300
AFG,1.7800,1.0000
ARG,1058.8050,13.6620
AST,899.2500,35.9700
BHU,1.2600,1.0000
BOL,51.8400,1.2960
BRA,1732.7240,45.5980
CAN,2482.2930,46.3980
CHI,16573.3000,389.9600
CHL,142.9600,7.1480
COL,251.5700,9.1480
COS,82.3200,2.0580
ECU,71.6650,2.6060
ELS,31.1950,1.0000
ETH,50.5600,2.5280
GUA,36.9900,2.4660
HON,19.8000,1.0000
IRQ,127.2000,5.0880
JAP,11088.0000,88.7040
KOR,1029.8200,37.4480
LIB,2.8600,1.0000
MEX,1062.9080,36.6520
MEN,0.0000,1.0000
NEP,20.4750,1.0000
NIC,12.2100,1.0000
NZL,118.8450,5.2820
PAN,49.7750,1.8100
PER,108.8100,7.2540
PHI,292.2600,9.7420
PRU,117.2150,6.6980
SAF,320.4000,8.5440
SAU,383.0700,102.1520
SIA,357.7400,11.5400
SIK,0.0000,1.0000
TIB,0.0000,1.0000
URG,55.4450,1.7060
VEN,149.5500,1.9940
YUN,0.0000,1.0000
USA,37539.0340,615.3940
MON,20.3200,1.0000
TAN,0.0000,1.0000
PAR,19.7200,1.0000
CUB,128.8800,2.1480
DOM,76.4400,2.5480
HAI,9.6300,1.0000
YEM,3.2000,1.0000
OMA,43.8400,2.1920
SLO,89.6100,3.0900
RAJ,3244.0020,79.1220
CRO,68.3150,2.1020
GXC,0.0000,1.0000
PRC,0.0000,1.0000
SHX,0.0000,1.0000
XSM,0.0000,1.0000
ICE,25.0900,1.0000
LEB,46.8000,1.0000
JOR,55.4400,1.2320
SYR,35.5500,1.0000
EGY,347.0350,7.3060
LBA,25.2000,1.0000
WGR,0.0000,1.0000
DDR,0.0000,1.0000
PAL,4.0000,1.0000
ISR,415.3440,12.2160
VIN,190.4390,10.2940
CAM,17.9550,1.0260
MAL,311.6520,9.4440
INS,578.2400,28.9120
LAO,20.1300,1.0000
MNT,6.4400,1.0000
UKR,192.7800,4.2840
GEO,15.2400,1.0000
KAZ,76.5500,6.1240
AZR,13.6620,1.5180
ARM,14.6000,1.0000
BLR,37.3600,1.8680
ANG,85.5400,2.4440
MZB,22.3000,1.0000
ZIM,46.0800,1.0240
COG,18.2000,1.8200
KEN,95.1300,2.7180
PAK,305.4750,8.1460
BOT,3.9800,1.0000
MAN,0.0000,1.0000
BAH,12.6400,1.0000
BAN,173.3940,9.1260
BLZ,2.1450,1.0000
BRM,49.0200,1.6340
CRC,1.5000,1.0000
GDL,0.0000,1.0000
GYA,8.1300,1.0000
JAM,17.0250,1.0000
JAN,0.0000,1.0000
KYR,11.3000,1.0000
MAD,10.7800,1.0000
MOL,7.1400,1.0000
PNG,16.2500,1.0000
PUE,0.0000,1.0000
QAT,97.0200,21.5600
SCO,0.0000,1.0000
SRL,108.8000,2.1760
SUR,3.6000,1.0000
TAJ,6.1950,1.0000
TRI,14.2450,1.0000
TMS,4.9800,1.0000
UAE,165.6900,55.2300
UZB,51.4500,2.9400
KUW,15.7200,18.8640
CYP,32.9600,1.0000
MLT,13.9000,1.0000
ALG,143.5000,5.7400
MOR,127.6800,3.6480
TUN,46.0000,1.1500
SUD,120.4000,1.2040
ERI,0.4200,1.0000
DJI,2.0700,1.0000
SOM,5.2000,1.0000
UGA,31.0000,1.2400
RWA,11.4800,1.0000
BRD,2.3800,1.0000
TZN,40.5450,1.8020
ZAM,23.1200,1.0000
MLW,10.4300,1.0000
GAB,12.8400,1.0000
RCG,14.6700,1.0000
EQG,5.1200,1.0000
CMR,26.5050,1.1780
CAR,1.5500,1.0000
CHA,9.6750,1.0000
