tag,ideas
ABK,dd_welfare_2 dd_education_3 dd_immigration_2 dd_taxes_2 dd_women_3 dd_minority_2 dd_investment_3 dd_security_4 dd_healthcare_2 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_2 dd_media_2 dd_civil_military_2 limited_conscription limited_exports partial_economic_mobilisation
ADU,
AFA,
AFG,dd_welfare_1 dd_education_1 dd_immigration_1 dd_taxes_2 dd_women_1 dd_minority_1 dd_investment_2 dd_security_5 dd_healthcare_1 dd_labor_2 dd_fertility_1 dd_aid_1 dd_religion_1 dd_media_2 dd_civil_military_5 extensive_conscription closed_economy partial_economic_mobilisation
ALB,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_4 volunteer_only export_focus civilian_economy
ALG,dd_welfare_3 dd_education_4 dd_immigration_2 dd_taxes_3 dd_women_2 dd_minority_2 dd_investment_4 dd_security_4 dd_healthcare_3 dd_labor_4 dd_fertility_2 dd_aid_2 dd_religion_2 dd_media_2 dd_civil_military_2 limited_conscription limited_exports civilian_economy
ALT,
ANG,dd_welfare_2 dd_education_4 dd_immigration_2 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_4 dd_security_4 dd_healthcare_2 dd_labor_3 dd_fertility_2 dd_aid_1 dd_religion_3 dd_media_2 dd_civil_military_2 limited_conscription export_focus civilian_economy
ANU,
AOI,
ARG,dd_welfare_2 dd_education_5 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_1 dd_security_3 dd_healthcare_3 dd_labor_2 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_4 dd_civil_military_2 volunteer_only export_focus civilian_economy
ARM,dd_welfare_3 dd_education_4 dd_immigration_2 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_2 dd_media_3 dd_civil_military_2 limited_conscription export_focus early_mobilization
AST,dd_welfare_4 dd_education_4 dd_immigration_4 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_4 dd_labor_3 dd_fertility_3 dd_aid_4 dd_religion_4 dd_media_4 dd_civil_military_3 volunteer_only export_focus civilian_economy
ASY,
