tag,ruling,last_election,election_frequency,elections_allowed,research_slots,tech_tier,social_democracy,social_liberalism,liberal_conservatism,progressive_populism,national_populism,sovereign_democracy,military_junta,absolute_monarchy,state_socialism,left_wing_nationalism,islamic_democracy,theocratic_absolutism,jihadist_fundamentalism,democratic_confederalism,fascism,communism,technocracy,anarcho_communism
GER,liberal_conservatism,2025.2.23,48,1,4,2,22,10,30,12,20,0,0,0,0,0,0,0,0,0,2,4,0,0
ENG,social_democracy,2024.7.4,60,1,4,3,38,10,28,4,18,0,0,0,0,0,0,0,0,0,0,2,0,0
SOV,sovereign_democracy,2024.3.17,72,0,4,3,4,0,6,0,12,68,0,0,0,0,0,0,0,0,2,8,0,0
SWE,liberal_conservatism,2022.9.11,48,1,3,2,30,14,32,6,14,0,0,0,0,0,0,0,0,0,0,4,0,0
FRA,social_liberalism,2022.4.24,60,1,4,3,18,28,12,0,32,0,0,0,0,0,0,0,0,0,4,6,0,0
LUX,social_liberalism,2023.10.8,60,1,2,0,8,72,11,0,4,0,0,0,0,0,0,0,0,0,4,1,0,0
BEL,liberal_conservatism,2024.6.9,60,1,3,2,22,16,30,10,16,0,0,0,0,0,0,0,0,0,2,4,0,0
HOL,liberal_conservatism,2023.11.22,48,1,3,2,18,22,28,10,16,0,0,0,0,0,0,0,0,0,2,4,0,0
CZE,liberal_conservatism,2021.10.8,48,1,3,1,18,12,32,0,26,0,0,0,0,0,0,0,0,0,4,8,0,0
POL,liberal_conservatism,2023.10.15,48,1,3,2,18,8,36,0,32,0,0,0,0,0,0,0,0,0,2,4,0,0
AUS,liberal_conservatism,2024.9.29,60,1,3,2,24,12,32,6,22,0,0,0,0,0,0,0,0,0,0,4,0,0
LIT,social_democracy,2024.10.13,48,1,2,0,68,8,13,0,7,0,0,0,0,0,0,0,0,0,3,1,0,0
EST,social_liberalism,2023.3.5,48,1,2,0,9,70,12,0,5,0,0,0,0,0,0,0,0,0,3,1,0,0
LAT,liberal_conservatism,2022.10.1,48,1,2,0,11,9,65,0,8,0,0,0,0,0,0,0,0,0,5,2,0,0
SPR,social_democracy,2023.7.23,48,1,3,2,34,10,28,6,16,0,0,0,0,0,0,0,0,0,2,4,0,0
ITA,national_populism,2022.9.25,60,1,4,2,22,12,18,8,32,0,0,0,0,0,0,0,0,0,2,6,0,0
ROM,liberal_conservatism,2024.12.8,60,1,3,1,13,10,50,0,17,0,0,0,0,0,0,0,0,0,6,4,0,0
YUG,military_junta,2024.1.1,48,0,1,0,4,0,6,0,0,0,85,0,0,0,0,0,0,0,0,5,0,0
SER,national_populism,2023.12.17,48,1,2,0,13,11,17,0,35,0,0,0,0,0,0,0,0,0,13,11,0,0
SWI,liberal_conservatism,2023.10.22,48,1,3,2,20,22,34,6,14,0,0,0,0,0,0,0,0,0,0,4,0,0
TUR,national_populism,2023.5.28,60,1,3,2,26,6,12,0,42,0,0,0,0,0,8,0,0,0,2,4,0,0
GRE,liberal_conservatism,2023.6.25,48,1,3,1,28,8,38,0,10,0,0,0,0,0,0,0,0,0,6,10,0,0
ALB,social_democracy,2025.5.11,48,1,2,0,55,10,17,0,11,0,0,0,0,0,0,0,0,0,4,3,0,0
NOR,social_democracy,2025.9.8,48,1,3,2,36,14,28,6,12,0,0,0,0,0,0,0,0,0,0,4,0,0
DEN,social_democracy,2022.11.1,48,1,3,2,34,16,28,6,14,0,0,0,0,0,0,0,0,0,0,2,0,0
BUL,liberal_conservatism,2024.10.27,48,1,2,0,13,10,48,0,18,0,0,0,0,0,0,0,0,0,6,5,0,0
POR,liberal_conservatism,2024.3.10,48,1,3,1,30,14,32,4,12,0,0,0,0,0,0,0,0,0,0,8,0,0
FIN,liberal_conservatism,2023.4.2,48,1,3,2,26,14,30,8,18,0,0,0,0,0,0,0,0,0,0,4,0,0
IRE,liberal_conservatism,2024.11.29,60,1,3,1,24,18,36,8,12,0,0,0,0,0,0,0,0,0,0,2,0,0
HUN,national_populism,2022.4.3,48,1,3,1,15,11,20,0,35,0,0,0,0,0,0,0,0,0,13,6,0,0
AFG,jihadist_fundamentalism,2024.1.1,48,0,1,0,0,0,5,0,0,8,0,0,0,0,12,0,72,0,0,3,0,0
ARG,liberal_conservatism,2023.11.19,48,1,3,1,22,4,42,10,16,0,0,0,0,0,0,0,0,0,0,6,0,0
AST,social_democracy,2025.5.3,36,1,3,2,36,10,34,4,14,0,0,0,0,0,0,0,0,0,0,2,0,0
BHU,liberal_conservatism,2024.1.1,48,1,1,0,18,12,35,0,27,0,0,0,0,0,0,0,0,0,0,8,0,0
BOL,left_wing_nationalism,2020.10.18,60,1,2,0,4,0,5,0,0,0,0,0,0,88,0,0,0,0,0,3,0,0
BRA,social_democracy,2022.10.30,48,1,3,1,36,4,28,8,18,0,0,0,0,0,0,0,0,0,0,6,0,0
CAN,social_liberalism,2025.4.28,48,1,3,2,8,34,38,4,14,0,0,0,0,0,0,0,0,0,0,2,0,0
CHI,state_socialism,2023.3.10,60,0,5,3,4,0,8,0,3,0,0,0,82,0,0,0,0,0,0,3,0,0
CHL,social_democracy,2021.11.21,48,1,3,1,55,9,16,0,10,0,0,0,0,0,0,0,0,0,4,6,0,0
COL,progressive_populism,2022.6.19,48,1,3,1,10,7,13,48,11,0,0,0,0,0,0,0,0,0,6,5,0,0
COS,social_liberalism,2024.1.1,48,1,2,0,9,70,13,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0
