tag,tier,research_slots
GER,2,4
ENG,3,4
SOV,3,4
SWE,2,3
FRA,3,4
LUX,0,2
BEL,2,3
HOL,2,3
CZE,1,3
POL,2,3
AUS,2,3
LIT,0,2
EST,0,2
LAT,0,2
SPR,2,3
ITA,2,4
ROM,1,3
YUG,0,1
SER,0,2
SWI,2,3
TUR,2,3
GRE,1,3
ALB,0,2
NOR,2,3
DEN,2,3
BUL,0,2
POR,1,3
FIN,2,3
IRE,1,3
HUN,1,3
AFG,0,1
ARG,1,3
AST,2,3
BHU,0,1
BOL,0,2
BRA,1,3
CAN,2,3
CHI,3,5
CHL,1,3
COL,1,3
COS,0,2
ECU,0,2
ELS,0,2
ETH,0,2
GUA,0,2
HON,0,2
IRQ,1,3
JAP,3,4
KOR,2,4
LIB,0,1
MEX,1,3
MEN,0,1
NEP,0,2
NIC,0,2
NZL,1,3
PAN,0,2
PER,1,3
PHI,1,3
PRU,0,3
SAF,1,3
SAU,2,3
SIA,1,3
SIK,0,1
TIB,0,1
URG,0,2
VEN,0,2
YUN,0,1
USA,3,5
MON,0,2
TAN,0,1
PAR,0,2
CUB,0,2
DOM,0,2
HAI,0,2
YEM,0,1
OMA,1,2
SLO,0,2
RAJ,2,4
CRO,0,2
GXC,0,1
PRC,0,1
SHX,0,1
XSM,0,1
ICE,0,2
LEB,0,2
JOR,0,2
SYR,0,2
EGY,1,3
LBA,0,1
WGR,0,1
DDR,0,1
PAL,0,1
ISR,2,4
VIN,1,3
CAM,0,2
MAL,1,3
INS,1,3
LAO,0,1
MNT,0,1
UKR,1,3
GEO,0,2
KAZ,1,3
AZR,0,2
ARM,0,2
BLR,1,2
ANG,0,2
MZB,0,2
ZIM,0,2
COG,0,2
KEN,0,2
PAK,1,3
BOT,0,1
MAN,0,1
BAH,0,1
BAN,1,3
BLZ,0,1
BRM,0,2
CRC,0,1
GDL,0,1
GYA,0,2
JAM,0,2
JAN,0,1
KYR,0,2
MAD,0,1
MOL,0,2
PNG,0,2
PUE,0,1
QAT,1,3
SCO,0,1
SRL,0,2
SUR,0,1
TAJ,0,1
TRI,0,2
TMS,0,2
UAE,2,3
UZB,0,2
KUW,1,2
CYP,0,2
MLT,0,2
ALG,1,3
MOR,1,2
TUN,0,2
SUD,0,2
ERI,0,1
DJI,0,1
SOM,0,1
UGA,0,2
RWA,0,1
BRD,0,1
TZN,0,2
ZAM,0,2
MLW,0,1
GAB,0,2
RCG,0,1
EQG,0,1
CMR,0,2
CAR,0,1
CHA,0,2
NGA,1,3
DAH,0,2
TOG,0,1
GHA,0,2
IVO,0,2
VOL,0,2
MLI,0,2
SIE,0,1
GNA,0,2
GNB,0,1
SEN,0,2
GAM,0,1
WLS,0,1
NGR,0,2
CSA,0,1
USB,0,1
MRT,0,1
NMB,0,1
WES,0,1
BAS,0,1
CAY,0,1
MLD,0,1
FIJ,0,1
FSM,0,1
TAH,0,1
GUM,0,1
SOL,0,1
SAM,0,1
HAW,0,1
SLV,0,2
BOS,0,2
HRZ,0,1
MAC,0,1
NIR,0,1
BAY,0,1
MEK,0,1
PRE,0,1
SAX,0,1
HAN,0,1
WUR,0,1
SHL,0,1
CAT,0,1
NAV,0,1
GLC,0,1
ADU,0,1
BRI,0,1
OCC,0,1
COR,0,1
KUR,0,1
TRA,0,1
DNZ,0,1
SIL,0,1
KSH,0,1
DON,0,1
KUB,0,1
BUK,0,1
ALT,0,1
KAL,0,1
KAR,0,1
CRI,0,1
TAT,0,1
CIN,0,1
DAG,0,1
BYA,0,1
CKK,0,1
FER,0,1
YAK,0,1
VLA,0,1
KKP,0,1
YAM,0,1
TAY,0,1
OVO,0,1
NEN,0,1
KOM,0,1
ABK,0,1
KBK,0,1
NOA,0,1
VGE,0,1
BSK,0,1
KHI,0,1
UDM,0,1
CHU,0,1
MEL,0,1
RIF,0,1
HAR,0,1
TIG,0,1
AFA,0,1
BEG,0,1
GBA,0,1
SID,0,1
ORO,0,1
QEM,0,1
KHA,0,1
AOI,0,1
LBV,0,1
PAP,0,1
TOS,0,1
SPM,0,1
TTS,0,1
SMI,0,1
GRN,0,1
RAP,0,1
YUC,0,1
RIG,0,1
QUE,0,1
KAT,0,1
BIA,0,1
WLA,0,1
CBV,0,1
BAR,0,1
EVE,0,1
SOK,0,1
THU,0,1
HES,0,1
RHI,0,1
UBD,0,1
KOS,0,1
RKB,0,1
RKN,0,1
RKG,0,1
RKU,0,1
RKO,0,1
RKK,0,1
RKT,0,1
RKM,0,1
RKL,0,1
GEN,0,1
RKH,0,1
RKI,0,1
RKC,0,1
RGB,0,1
RKA,0,1
RNA,0,1
RKV,0,1
RAN,0,1
RCO,0,1
RUS,0,1
RHD,0,1
RAR,0,1
ROA,0,1
RAA,0,1
GAR,0,1
INC,0,1
MIS,0,1
MAY,0,1
INU,0,1
CHR,0,1
ITZ,0,1
NAH,0,1
IAS,0,1
DIP,0,1
PSH,0,1
HYD,0,1
MYS,0,3
RJP,0,1
CIP,0,1
RAS,0,1
NWF,0,1
KAS,0,1
MPU,0,1
WIS,0,1
KOL,0,1
KHL,0,1
SIN,0,1
KLT,0,1
SKK,0,1
FSA,0,1
ASY,0,1
BHR,1,2
IMO,0,1
BLC,0,1
EZO,0,1
OKN,0,1
ANU,0,1
PLU,0,1
FOR,2,4
TML,0,1
CHM,0,1
SNG,2,3
SAR,0,1
SAB,0,1
BRN,0,1
WPG,0,1
KUM,0,1
GSM,0,1
GDC,0,1
KHM,0,1
NXM,0,1
SND,0,1
SIC,0,1
XIC,0,1
RNG,0,1
PSR,0,1
HBC,0,1
SDL,0,1
RUT,0,1
GAL,0,1
BLI,0,1
ATJ,0,1
SSI,0,1
POK,0,1
GOW,0,1
TNE,0,1
BOU,0,1
VAN,0,1
CPS,0,1
DPK,1,2
SSD,0,1
KIR,0,1
TUV,0,1
NAU,0,1
MHL,0,1
MAU,0,1
COM,0,1
STP,0,1
SEY,0,1
SML,0,1
NCY,0,1
HAM,0,1
HEZ,0,1
HOU,0,1
YNR,0,1
NUG,0,1
ATG,0,1
DMA,0,1
STL,0,1
SVG,0,1
GND,0,1
BRB,0,1
PMR,0,1
ROJ,0,1
STC,0,1
DRZ,0,1
SNA,0,1
PNT,0,1
JUB,0,1
SHB,0,1
M23,0,1
SOE,0,1
NRF,0,1
LES,0,1
SWZ,0,1
LNA,0,2
RSF,0,1
SIO,0,1
AZA,0,1
IG1,0,1
IG2,0,1
IG3,0,1
IG4,0,1
