tag,name,ideology,subideology,dem,com,fas,neu,gdp_b,debt_gdp,mva_b,sipri_b,wartime,pop,faction,capital,leader,elections,docks,infra,renewable_gw,ind_b,agr_b
USA,United States,democratic,conservatism,47,3,2,48,30769.7,1.22,2497.132,997.31,0,349035494,NATO,361,Donald Trump,yes,11,4,467.918,4169.821,223.724
CHI,China,communism,marxism,5,85,2,8,19498.0,0.85,4822.731,313.66,0,1412914089,,608,Xi Jinping,no,33,5,2258.016,6949.425,1298.314
SOV,Russia,neutrality,oligarchism,8,12,10,70,2561.3,0.20,349.768,148.97,1,143394458,CSTO,219,Vladimir Putin,no,6,2,59.000,760.029,78.308
RAJ,India,democratic,conservatism,55,8,5,32,3956.1,0.82,532.924,86.13,0,1476625576,,439,Narendra Modi,yes,4,3,250.519,997.125,642.238
ENG,United Kingdom,democratic,socialism,62,4,6,28,4002.6,1.00,307.302,81.76,0,69931528,NATO,126,Keir Starmer,yes,4,4,62.000,659.986,25.615
FRA,France,democratic,liberalism,58,8,12,22,3366.3,1.12,319.336,64.68,0,66746401,NATO,16,Emmanuel Macron,yes,4,4,83.632,564.767,47.235
GER,Germany,democratic,conservatism,60,8,10,22,5050.9,0.64,889.627,88.46,0,83644258,NATO,64,Friedrich Merz,yes,2,5,190.000,1270.752,44.015
JAP,Japan,democratic,conservatism,70,4,4,22,4435.2,2.50,788.452,55.27,0,122427731,,282,Shigeru Ishiba,yes,10,5,134.532,1122.005,40.152
ITA,Italy,democratic,conservatism,52,12,18,18,2551.6,1.35,382.774,37.96,0,58926166,NATO,2,Giorgia Meloni,yes,4,4,76.000,577.678,52.702
CAN,Canada,democratic,liberalism,68,4,4,24,2319.9,1.07,205.191,29.35,0,40467728,NATO,276,Mark Carney,yes,2,5,110.511,601.868,42.531
KOR,South Korea,democratic,conservatism,58,4,6,32,1872.4,0.55,513.524,47.57,0,51600388,,525,Lee Jae-myung,yes,16,5,32.000,642.788,27.417
DPK,North Korea,communism,stalinism,1,92,2,5,40,0.00,8,1.60,0,26633691,,527,Kim Jong-un,no,2,2,0.000,,
BRA,Brazil,democratic,liberalism,48,18,10,24,2279.9,0.76,268.398,20.95,0,213562666,,500,Luiz Inacio Lula da Silva,yes,1,3,228.204,459.403,138.761
MEX,Mexico,democratic,populism,50,8,8,34,1832.6,0.58,366.083,16.73,0,132997658,,277,Claudia Sheinbaum,yes,0,2,35.168,560.118,71.181
INS,Indonesia,democratic,conservatism,52,4,6,38,1445.6,0.40,275.613,11.04,0,287886782,,335,Prabowo Subianto,yes,1,2,15.180,559.576,189.373
TUR,Turkey,neutrality,despotism,30,6,14,50,1597.3,0.32,228.910,24.98,0,87926082,NATO,49,Recep Tayyip Erdogan,yes,3,3,38.000,383.721,83.211
SAU,Saudi Arabia,neutrality,despotism,5,1,4,90,1276.9,0.30,201.970,80.33,0,35165787,,292,Mohammed bin Salman,no,0,4,8.000,548.724,33.072
AST,Australia,democratic,conservatism,65,4,5,26,1798.5,0.50,95.630,33.82,0,27227096,,285,Anthony Albanese,yes,2,5,66.021,429.600,40.765
SPR,Spain,democratic,socialism,62,10,10,18,1906.5,1.05,202.018,24.62,0,47850793,NATO,41,Pedro Sanchez,yes,2,4,90.000,373.198,51.137
POL,Poland,democratic,conservatism,55,6,12,27,1035.5,0.50,155.797,38.00,0,37843188,NATO,10,Donald Tusk,yes,1,4,28.000,267.535,25.408
HOL,Netherlands,democratic,liberalism,70,6,8,16,1332.8,0.47,134.365,23.18,0,18448775,NATO,7,Dick Schoof,yes,1,5,30.000,235.609,22.434
BEL,Belgium,democratic,liberalism,68,8,8,16,725.5,1.05,81.044,8.56,0,11774642,NATO,6,Bart De Wever,yes,0,5,17.085,134.991,5.297
SWE,Sweden,democratic,socialism,72,6,8,14,669.0,0.35,83.310,12.04,0,10701047,NATO,141,Ulf Kristersson,yes,1,5,35.000,140.709,10.057
NOR,Norway,democratic,conservatism,70,6,6,18,530.8,0.45,32.458,10.44,0,5652989,NATO,110,Jonas Gahr Store,yes,0,4,40.000,182.880,8.715
DEN,Denmark,democratic,socialism,72,6,6,16,462.5,0.30,86.663,9.96,0,6023520,NATO,37,Mette Frederiksen,yes,0,5,14.561,114.896,5.409
GRN,Greenland,democratic,socialism,70,5,5,20,3.3,0.20,0.091,0.0,0,55629,,101,Jens-Frederik Nielsen,yes,0,2,0.000,0.614,0.551
FIN,Finland,democratic,liberalism,70,6,6,18,317.0,0.75,45.148,6.99,0,5621739,NATO,111,Petteri Orpo,yes,0,5,17.943,71.409,8.277
SWI,Switzerland,democratic,conservatism,75,4,5,16,1043.5,0.40,197.492,6.72,0,9007798,,3,Viola Amherd,yes,0,5,16.000,260.902,6.727
AUS,Austria,democratic,conservatism,65,8,14,13,579.5,0.80,88.237,5.26,0,9107266,,4,Christian Stocker,yes,0,4,31.525,138.973,7.284
IRE,Ireland,democratic,liberalism,72,4,4,20,721.7,0.45,244.838,1.33,0,5356950,,113,Simon Harris,yes,0,4,6.000,272.485,7.629
POR,Portugal,democratic,socialism,68,8,8,16,346.6,1.10,39.157,4.64,0,10395362,NATO,112,Luis Montenegro,yes,0,4,20.000,63.278,6.795
