state_id,file,owner_2026,loc_name,manpower,civs,mils,docks,infra,finance,services,renewable,extra_slots,category,pop_source,oil,coal,steel,aluminium,tungsten,chromium,copper,graphite,lithium,cobalt,rare_earths,rubber
1,1-France.txt,FRA,Corsica,363893,0,0,0,4,0,0,0,0,rural,wikidata/admin1,0,0,0,0,0,0,0,0,0,0,0,0
2,2-Italy.txt,ITA,Lazio,6239135,1,1,0,5,2,2,1,3,city,wikidata/admin1,1,0,1,0,0,0,0,0,0,0,0,0
3,3-Swiss Plateau.txt,SWI,Swiss Plateau,6245139,6,3,0,5,1,3,1,10,city,wikidata/admin1,0,0,0,0,0,0,0,0,0,0,0,0
4,4-Austria.txt,AUS,Lower Austria,2385195,1,1,0,5,1,2,1,3,large_town,wikidata/admin1,0,0,0,0,1,0,0,0,0,0,0,0
5,5-Germany.txt,POL,Ermland-Masuren,1880041,0,0,0,4,0,0,0,0,town,wikidata/admin1,0,0,0,0,0,0,0,0,0,0,0,0
6,6-Belgium.txt,BEL,Flanders,2507634,1,1,0,5,1,2,0,2,large_town,wikidata/admin1,0,0,0,0,0,0,0,0,0,0,0,0
7,7-Holland.txt,HOL,Holland,6980399,3,2,1,5,1,2,1,6,city,manual/2026,0,0,0,0,0,0,0,0,0,0,0,0
8,8-Luxemburg.txt,LUX,Luxembourg,687448,1,0,0,5,0,1,0,2,rural,wikidata/admin1,0,0,0,0,0,0,0,0,0,0,0,0
9,9-Czechoslovakia.txt,CZE,Bohemia,2722881,1,3,0,4,0,1,0,2,large_town,wikidata/admin1,0,1,1,0,0,0,0,0,0,0,0,0
10,10-Poland.txt,POL,Warsaw,5192729,1,1,0,5,1,2,0,1,city,wikidata/admin1,0,0,0,0,0,0,0,0,0,0,0,0
11,11-Kaunas.txt,LIT,Kaunas,311703,0,0,0,5,0,1,0,1,rural,wikidata/admin1,0,0,0,0,0,0,0,0,0,0,0,0
12,12-Latvia.txt,LAT,Vidzeme,917447,1,0,0,4,0,0,0,0,town,manual/2026,0,0,0,0,0,0,0,0,0,0,0,0
13,13-Estonia.txt,EST,Pärnu,109965,0,0,0,5,0,0,0,1,pastoral,wikidata/admin1,0,0,0,0,0,0,0,0,0,0,0,0
14,14-Brittany.txt,FRA,Brittany,3530943,1,0,1,4,0,1,1,1,large_town,wikidata/admin1,0,0,0,1,0,0,0,0,0,0,0,0
15,15-Normandy.txt,FRA,Normandy,3424967,0,0,1,4,0,1,0,0,large_town,wikidata/admin1,0,0,0,0,0,0,0,0,0,0,0,0
16,16-Ile de France.txt,FRA,Ile de France,12757003,3,2,0,5,2,2,1,4,large_city,wikidata/admin1,0,0,1,1,0,0,0,0,0,0,0,0
17,17-Alcase Lorraine.txt,FRA,Franche-Comte,554761,0,0,0,4,0,0,0,0,rural,wikidata/admin1,0,0,0,0,0,0,0,0,0,0,0,0
18,18-Champagne.txt,FRA,Champagne,1370674,0,0,0,4,0,0,0,0,town,wikidata/admin1,0,0,0,0,0,0,0,0,0,0,0,0
19,19-Aquitaine.txt,FRA,Aquitaine,3395329,0,2,0,4,0,1,0,0,large_town,wikidata/admin1,0,0,0,0,0,0,0,0,0,0,0,0
20,20-Franche-comte.txt,FRA,Rhone,652735,3,2,0,4,0,0,0,5,rural,wikidata/admin1,0,0,0,0,0,0,0,0,0,0,0,0
21,21-Bouches-du-Rhone.txt,FRA,Bouches-du-Rhône,2137028,3,2,0,4,0,1,0,3,large_town,wikidata/admin1,0,0,0,0,0,0,0,0,0,0,0,0
22,22-Roussillion.txt,FRA,Languedoc,2794275,0,0,0,4,0,1,0,0,large_town,wikidata/admin1,0,0,0,0,0,0,0,0,0,0,0,0
23,23-Poitou.txt,FRA,Poitou,1832105,0,0,0,4,0,0,0,0,town,wikidata/admin1,0,0,0,0,0,0,0,0,0,0,0,0
24,24-Centre.txt,FRA,Centre,2648211,0,1,0,4,0,1,0,0,large_town,wikidata/admin1,0,0,0,0,0,0,0,0,0,0,0,0
25,25-Limousin.txt,FRA,Limousin,746772,0,0,0,4,0,0,0,0,rural,wikidata/admin1,0,0,0,0,0,0,0,0,0,0,0,0
26,26-Bourgogne.txt,FRA,Auvergne,832214,0,0,0,4,0,0,0,0,town,wikidata/admin1,0,0,0,0,0,0,0,0,0,0,0,0
27,27-Champagne2.txt,FRA,Bourgogne,2036735,0,0,0,4,0,1,0,0,large_town,wikidata/admin1,0,0,0,0,0,0,0,0,0,0,0,0
28,28-Alcase.txt,FRA,Alsace-Lorraine,2400658,2,0,0,4,0,1,0,0,large_town,wikidata/admin1,0,0,0,0,0,0,0,0,0,0,0,0
29,29-Pas de Calais.txt,FRA,Nord-Pas-de-Calais,4156772,2,0,0,4,0,1,1,1,large_town,wikidata/admin1,0,0,0,1,0,0,0,0,0,0,0,0
30,30-Loire.txt,FRA,Loire,792440,0,0,1,4,0,0,0,1,rural,wikidata/admin1,0,0,0,0,0,0,0,0,0,0,0,0
31,31-Midi Pyrenees.txt,FRA,Midi Pyrenees,3024019,0,0,0,4,0,1,0,0,large_town,wikidata/admin1,0,0,0,0,0,0,0,0,0,0,0,0
32,32-Rhone Alpes.txt,FRA,Alpes,6551277,3,2,0,4,0,1,1,3,city,wikidata/admin1,0,0,1,1,0,0,0,0,0,0,0,0
33,33-Centre sud.txt,FRA,Centre-Sud,2648211,0,1,0,4,0,1,0,0,large_town,wikidata/admin1,0,0,0,0,0,0,0,0,0,0,0,0
34,34-Wallonie.txt,BEL,Wallonia,5797549,2,2,0,5,0,1,1,2,city,wikidata/admin1,0,0,0,0,0,0,0,0,0,0,0,0
35,35-Gelderland.txt,HOL,Brabant,7446101,3,1,0,5,0,1,1,2,city,manual/2026,0,0,1,1,0,0,0,0,0,0,0,0
36,36-Friesland.txt,HOL,Friesland,3865831,1,0,0,5,0,1,0,0,large_town,manual/2026,0,0,0,0,0,0,0,0,0,0,0,0
37,37-Denmark.txt,DEN,Sjaelland,929748,0,0,0,5,1,2,0,1,town,wikidata/admin1,0,0,0,0,0,0,0,0,0,0,0,0
38,38-Sweden.txt,SWE,Gävleborg,475272,0,0,0,5,0,0,0,0,rural,wikidata/admin1,0,0,0,0,0,0,0,0,0,0,0,0
39,39-South Tyrol.txt,ITA,South Tyrol,579332,0,0,0,4,0,0,0,0,rural,wikidata/admin1,0,0,0,0,0,0,0,0,0,0,0,0
40,40-USSR.txt,SOV,Altai Krai,1830794,0,0,0,2,0,0,0,0,town,wikidata/admin1,0,0,0,0,0,0,0,0,0,0,0,0
41,41-Madrid.txt,SPR,Madrid,8243085,2,2,0,5,1,2,1,4,city,wikidata/admin1,0,0,1,0,0,0,1,0,0,0,0,0
42,42-Rhineland.txt,GER,Moselland,6898626,7,2,0,5,0,2,1,8,city,census/admin,0,0,0,1,0,0,0,0,0,0,0,0
43,43-Hungary.txt,HUN,Northern Hungary,4010856,1,0,0,4,0,1,0,0,large_town,wikidata/admin1,0,0,0,0,0,0,0,0,0,0,0,0
44,44-Albania.txt,ALB,Central Albania,2166642,1,0,0,3,0,0,0,0,large_town,manual/2026,0,0,0,0,0,5,0,0,0,0,0,0
45,45-Yugoslavia.txt,SER,Vojvodina,1577692,0,0,0,1,0,0,0,0,town,wikidata/admin1,0,1,0,0,0,0,0,0,0,0,0,0
46,46-Romania.txt,ROM,Muntenia,5506343,1,3,0,3,1,2,1,4,city,wikidata/admin1,1,1,1,1,0,0,0,0,0,0,0,0
47,47-Greece.txt,GRE,Attica,4612618,1,2,0,5,0,1,1,2,large_town,wikidata/admin1,0,1,0,0,0,0,0,0,0,0,0,0
48,48-Bulgaria.txt,BUL,Sofia,450442,0,1,0,4,0,1,0,2,rural,wikidata/admin1,0,0,0,0,0,0,0,0,0,0,0,0
49,49-Turkey.txt,TUR,Ankara,9713265,2,4,0,4,1,2,1,6,city,wikidata/admin1,1,0,0,0,0,0,1,0,0,0,0,0
