tag,vanilla_file_name,doomsday_name,tag_source,status,states_owned
ABK,Abkhazia,Abkhazia,vanilla,on_map,1
ADU,Andalusia,Andalusia,vanilla,releasable_or_dead,0
AFA,Afar,Afar,vanilla,releasable_or_dead,0
AFG,Afghanistan,Afghanistan,vanilla,on_map,7
ALB,Albania,Albania,vanilla,on_map,3
ALG,Algeria,Algeria,vanilla,on_map,4
ALT,Altay,Altay,vanilla,releasable_or_dead,0
ANG,Angola,Angola,vanilla,on_map,4
ANU,Ainu,Ainu,vanilla,releasable_or_dead,0
AOI,Italian East Africa,Italian East Africa,vanilla,releasable_or_dead,0
ARG,Argentina,Argentina,vanilla,on_map,14
ARM,Armenia,Armenia,vanilla,on_map,1
AST,Australia,Australia,vanilla,on_map,16
ASY,Assyria,Assyria,vanilla,releasable_or_dead,0
ATG,Antigua and Barbuda,Antigua and Barbuda,doomsday_new,on_map,1
ATJ,Atjeh,Atjeh,vanilla,releasable_or_dead,0
AUS,Austria,Austria,vanilla,on_map,6
AZR,Azerbaijan,Azerbaijan,vanilla,on_map,2
BAH,Bahamas,Bahamas,vanilla,on_map,1
BAN,Bangladesh,Bangladesh,vanilla,on_map,1
BAR,Barotseland,Barotseland,vanilla,releasable_or_dead,0
BAS,British Antilles,Lesser Antilles,vanilla,stub_in_sheet,0
BAY,Bavaria,Bavaria,vanilla,releasable_or_dead,0
BEG,Benishangul-Gumuz,Benishangul-Gumuz,vanilla,releasable_or_dead,0
BEL,Belgium,Belgium,vanilla,on_map,4
BHR,Bahrain,Bahrain,vanilla,on_map,1
BHU,Bhutan,Bhutan,vanilla,on_map,1
BIA,Biafra,Biafra,vanilla,releasable_or_dead,0
BLC,Balochistan,Balochistan,vanilla,releasable_or_dead,0
BLI,Bali,Bali,vanilla,releasable_or_dead,0
BLR,Belarus,Belarus,vanilla,on_map,8
BLZ,Belize,Belize,vanilla,on_map,1
BOL,Bolivia,Bolivia,vanilla,on_map,2
BOS,Bosnia,Bosnia,vanilla,on_map,2
BOT,Botswana,Botswana,vanilla,on_map,1
BOU,Bougainville,Bougainville,vanilla,releasable_or_dead,0
BRA,Brazil,Brazil,vanilla,on_map,31
BRB,Barbados,Barbados,doomsday_new,on_map,1
BRD,Burundi,Burundi,vanilla,on_map,1
BRI,Brittany,Brittany,vanilla,releasable_or_dead,0
BRM,Burma,Myanmar,vanilla,on_map,5
BRN,Brunei,Brunei,vanilla,on_map,1
BSK,Bashkortostan,Bashkortostan,vanilla,releasable_or_dead,0
BUK,Bukharan Republic,Bukharan Republic,vanilla,releasable_or_dead,0
BUL,Bulgaria,Bulgaria,vanilla,on_map,5
BYA,Buryatia,Buryatia,vanilla,releasable_or_dead,0
CAM,Cambodia,Cambodia,vanilla,on_map,2
CAN,Canada,Canada,vanilla,on_map,25
CAR,Central African Republic,Central African Republic,vanilla,on_map,1
CAT,Catalonia,Catalonia,vanilla,releasable_or_dead,0
CAY,Cayenne,Cayenne,vanilla,releasable_or_dead,0
CBV,Cabo Verde,Cabo Verde,vanilla,on_map,1
CHA,Chad,Chad,vanilla,on_map,2
CHI,China,China,vanilla,on_map,78
CHL,Chile,Chile,vanilla,on_map,8
CHM,Champa,Champa,vanilla,releasable_or_dead,0
CHR,Charrua,Charrua,vanilla,releasable_or_dead,0
CHU,Chuvashia,Chuvashia,vanilla,releasable_or_dead,0
CIN,Chechnya Ingushetia,Chechnya Ingushetia,vanilla,releasable_or_dead,0
CIP,Central Indian Provinces,Central Indian Provinces,vanilla,releasable_or_dead,0
CKK,Chukotka,Chukotka,vanilla,releasable_or_dead,0
CMR,Cameroon,Cameroon,vanilla,on_map,1
COG,Congo,DR Congo,vanilla,on_map,6
