state_id,file,owner,loc_name,pretty_file,pop_source,official_weight,pixels,coastal
1,1-France.txt,FRA,Corsica,France,wikidata/admin1,355486.0,274,1
2,2-Italy.txt,ITA,Lazio,Italy,wikidata/admin1,5720536.0,671,1
3,3-Swiss Plateau.txt,SWI,Swiss Plateau,Swiss Plateau,wikidata/admin1,6473276.0,417,0
4,4-Austria.txt,AUS,Lower Austria,Austria,wikidata/admin1,1727514.0,921,0
5,5-Germany.txt,POL,Ermland-Masuren,Germany,wikidata/admin1,1437812.0,1042,0
6,6-Belgium.txt,BEL,Flanders,Belgium,wikidata/admin1,1602532.0,323,1
7,7-Holland.txt,HOL,Holland,Holland,manual/2026,6820000.0,314,1
8,8-Luxemburg.txt,LUX,Luxembourg,Luxemburg,wikidata/admin1,411312.0,116,0
9,9-Czechoslovakia.txt,CZE,Bohemia,Czechoslovakia,wikidata/admin1,1455940.0,1309,0
10,10-Poland.txt,POL,Warsaw,Poland,wikidata/admin1,5492000.0,867,0
11,11-Kaunas.txt,LIT,Kaunas,Kaunas,wikidata/admin1,580333.0,563,0
12,12-Latvia.txt,LAT,Vidzeme,Latvia,manual/2026,1200000.0,575,0
13,13-Estonia.txt,EST,Pärnu,Estonia,wikidata/admin1,87418.0,610,0
14,14-Brittany.txt,FRA,Brittany,Brittany,wikidata/admin1,3449370.0,956,1
15,15-Normandy.txt,FRA,Normandy,Normandy,wikidata/admin1,3345842.0,1189,1
16,16-Ile de France.txt,FRA,Ile de France,Ile de France,wikidata/admin1,12463067.0,709,0
17,17-Alcase Lorraine.txt,FRA,Franche-Comte,Alcase Lorraine,wikidata/admin1,1179601.0,872,0
18,18-Champagne.txt,FRA,Champagne,Champagne,wikidata/admin1,1339008.0,1232,0
19,19-Aquitaine.txt,FRA,Aquitaine,Aquitaine,wikidata/admin1,3316889.0,391,1
20,20-Franche-comte.txt,FRA,Rhone,Franche-comte,wikidata/admin1,1179601.0,1026,0
21,21-Bouches-du-Rhone.txt,FRA,Bouches-du-Rhône,Bouches-du-Rhone,wikidata/admin1,2087658.0,415,1
22,22-Roussillion.txt,FRA,Languedoc,Roussillion,wikidata/admin1,2729721.0,960,0
23,23-Poitou.txt,FRA,Poitou,Poitou,wikidata/admin1,1789779.0,1014,1
24,24-Centre.txt,FRA,Centre,Centre,wikidata/admin1,2587031.0,747,0
25,25-Limousin.txt,FRA,Limousin,Limousin,wikidata/admin1,729520.0,1190,0
26,26-Bourgogne.txt,FRA,Auvergne,Bourgogne,wikidata/admin1,2802670.0,798,0
27,27-Champagne2.txt,FRA,Bourgogne,Champagne2,wikidata/admin1,2802670.0,1116,0
28,28-Alcase.txt,FRA,Alsace-Lorraine,Alcase,wikidata/admin1,2345197.0,586,0
29,29-Pas de Calais.txt,FRA,Nord-Pas-de-Calais,Pas de Calais,wikidata/admin1,4060741.0,584,1
30,30-Loire.txt,FRA,Loire,Loire,wikidata/admin1,774133.0,1056,0
31,31-Midi Pyrenees.txt,FRA,Midi Pyrenees,Midi Pyrenees,wikidata/admin1,2954157.0,1403,0
32,32-Rhone Alpes.txt,FRA,Alpes,Rhone Alpes,wikidata/admin1,6399927.0,462,0
33,33-Centre sud.txt,FRA,Centre-Sud,Centre sud,wikidata/admin1,2587031.0,741,0
34,34-Wallonie.txt,BEL,Wallonia,Wallonie,wikidata/admin1,3704990.0,304,0
35,35-Gelderland.txt,HOL,Brabant,Gelderland,manual/2026,7275000.0,449,0
36,36-Friesland.txt,HOL,Friesland,Friesland,manual/2026,3777000.0,715,1
